Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
The Iron Rose,Horror,1973,tt0126004,0.0,4.4,nm0664256,nm0703364,nm0674630,nm0201193,1949,1948,1929,1951,4.0,25.0,7.0,2.0,F,M,F,F
Becoming Jane,Drama,2007,tt0416508,11609286.614221303,4.9,nm0004266,nm0564215,nm0910278,nm0000342,1982,1979,1950,1940,69.0,68.0,77.0,76.0,F,M,F,M
A Broken Life,Drama,2007,tt0937391,0.0,4.2,nm0001744,nm0786417,nm1634769,nm0000609,1961,1984,\N,1959,180.0,163.0,4.0,85.0,M,M,F,M
The Dark Half,Horror,1993,tt0106664,-24581776.75223536,4.0,nm0000459,nm0001496,nm0740264,nm0364915,1960,1950,1955,1925,191.0,40.0,58.0,156.0,M,F,M,F
Midnight Express,Drama,1978,tt0077928,11609286.614221303,6.3,nm0001113,nm0591968,nm0005019,nm0093678,1949,1954,1938,1937,30.0,9.0,57.0,55.0,M,F,M,M
RoboCop 3,Drama,1993,tt0107978,-18682150.331698872,3.7,nm0121559,nm0000262,nm0532478,nm0752802,1960,1950,1935,\N,34.0,28.0,3.0,2.0,M,F,M,F
Gagamboy,Other,2004,tt0392023,0.0,4.4,nm1203648,nm1105803,nm1339537,nm1203515,1977,\N,1982,\N,175.0,168.0,15.0,11.0,M,M,F,M
Rogues' Regiment,Drama,1948,tt0040744,0.0,4.6,nm0694090,nm0869084,nm0001637,nm0573640,1904,1926,1911,1911,95.0,16.0,172.0,84.0,M,F,M,M
Hell Boats,Other,1970,tt0065825,0.0,4.3,nm0002082,nm0791774,nm0021004,nm0052753,1934,1936,1930,1935,127.0,25.0,503.0,12.0,M,F,M,M
The Forbidden Kingdom,Action/Adventure,2008,tt0865556,11609286.614221303,4.8,nm0000329,nm0001472,nm0029400,nm2973494,1954,1963,1987,\N,94.0,43.0,58.0,1.0,M,M,M,F
Eagle's Wing,Action/Adventure,1979,tt0079094,0.0,4.4,nm0000640,nm0001832,nm0000172,nm0000804,1940,1940,1939,1932,356.0,491.0,120.0,65.0,M,M,M,F
Asylum Seekers,Drama,2009,tt1132135,0.0,4.1,nm0018665,nm0205929,nm1745642,nm2842160,\N,\N,\N,\N,19.0,23.0,2.0,4.0,F,M,F,M
Superman,Other,1978,tt0078346,11609286.614221303,5.3,nm0001659,nm0452288,nm0000432,nm0000008,1952,1948,1930,1924,40.0,114.0,77.0,45.0,M,F,M,M
Boy called Twist,Drama,2004,tt0461472,0.0,4.6,nm1753501,nm0284586,nm0288230,nm0193049,\N,\N,\N,\N,16.0,347.0,4.0,7.0,M,M,M,M
Bleeder,Drama,1999,tt0161292,0.0,4.6,nm0091035,nm0586568,nm0027810,nm0179828,1965,1965,1972,1973,70.0,97.0,33.0,11.0,M,M,F,F
If They Tell You I Fell,Drama,1989,tt0098324,0.0,4.3,nm0000721,nm0764450,nm0000104,nm0348741,1959,1969,1960,1958,175.0,115.0,111.0,18.0,F,M,M,M
Lord of the Flies,Drama,1963,tt0057261,-1932540.1360544215,4.6,nm0041405,nm0152204,nm0250046,nm0255900,1947,1948,1951,1950,23.0,1.0,1.0,1.0,M,M,M,M
Without Warning,Other,1980,tt0081764,-430908.1808069573,4.2,nm0001588,nm0001445,nm0638364,nm0625249,1919,1928,1954,1954,121.0,198.0,4.0,3.0,M,M,F,M
Trial and Error,Other,1997,tt0120373,11609286.614221303,4.6,nm0724245,nm0001099,nm0000234,nm0824763,1949,1955,1975,1965,202.0,111.0,53.0,82.0,M,M,F,F
Ajooba,Other,1991,tt0101283,0.0,4.3,nm0000821,nm0438092,nm0438501,nm0814193,1942,1957,1952,1972,197.0,75.0,99.0,17.0,M,F,M,F
Taxi,Other,1998,tt0152930,0.0,4.7,nm0618651,nm0225899,nm0182839,nm0332659,1961,1968,1975,\N,34.0,477.0,76.0,17.0,M,M,F,F
When Will I Be Loved,Drama,2004,tt0396271,0.0,4.1,nm0000117,nm0919867,nm0156940,nm1249879,1973,1966,1931,\N,234.0,88.0,43.0,1.0,F,M,M,F
From the Drain,Other,1967,tt0061687,0.0,4.1,nm1526206,nm0636470,,,\N,\N,,,2.0,1.0,,,M,M,,
Necessary Roughness,Other,1991,tt0102517,11609286.614221303,4.7,nm0000836,nm0001185,nm0005162,nm0468772,1954,1936,1930,1957,425.0,91.0,161.0,42.0,M,M,M,F
Song of the Islands,Other,1942,tt0035361,0.0,4.5,nm0002107,nm0001514,nm0642988,nm0593775,1916,1913,1903,1892,38.0,48.0,65.0,118.0,F,M,M,M
The Aviary,Other,2005,tt0443436,0.0,4.7,nm0680568,nm0709620,nm0318580,nm0710243,\N,1972,\N,\N,7.0,101.0,5.0,40.0,F,M,M,F
Sweeney Todd: The Demon Barber of Fleet Street,Horror,2007,tt0408236,11609286.614221303,5.6,nm0000136,nm0000307,nm0000614,nm0001758,1963,1966,1946,1957,247.0,104.0,35.0,140.0,M,F,M,M
Raju Chacha,Drama,2000,tt0271748,0.0,4.2,nm0004418,nm0222426,nm0438501,nm0848308,1974,1969,1952,1954,47.0,123.0,99.0,422.0,F,M,M,M
Chaplin,Drama,1992,tt0103939,-36285236.40693313,4.1,nm0000375,nm0001036,nm0722631,nm0857177,1965,1944,1963,1942,86.0,102.0,45.0,190.0,M,F,M,M
Nothing to Lose,Action/Adventure,1997,tt0119807,11609286.614221303,4.8,nm0001454,nm0000209,nm0001525,nm0002064,1965,1958,1959,1958,173.0,67.0,73.0,166.0,M,M,M,M
Barah Aana,Drama,2009,tt1202517,0.0,4.6,nm0787462,nm0704694,nm1464837,nm0686376,1950,1963,1981,1976,179.0,64.0,46.0,45.0,M,M,M,F
Beyond the Time Barrier,Other,1960,tt0053651,-1000575.5142293604,4.3,nm0164967,nm0866995,nm0033962,nm0812453,1920,1940,1937,1889,46.0,1.0,2.0,15.0,M,F,F,M
"The Prophet, the Gold and the Transylvanians",Other,1978,tt0078119,0.0,4.8,nm0162524,nm0596481,nm0224441,nm0714287,1931,1942,1949,1933,36.0,15.0,32.0,69.0,M,M,M,M
Friday the 13th: The Final Chapter,Horror,1984,tt0087298,11609286.614221303,4.6,nm0026687,nm0036978,nm0059228,nm0065206,\N,\N,1956,1956,17.0,8.0,325.0,30.0,M,F,M,F
The Stoker,Other,1932,tt0023512,0.0,4.3,nm0089524,nm0121282,nm0001935,nm0602096,1887,1905,1882,1901,53.0,20.0,69.0,24.0,M,F,M,F
Mon Mane Na,Action/Adventure,2008,tt1400528,0.0,4.2,nm1738026,nm2270922,nm3359025,nm3873680,\N,1948,1982,\N,151.0,868.0,27.0,1.0,M,M,M,M
I'm Losing You,Drama,1998,tt0142393,20326.319034814172,4.3,nm0001449,nm0901926,nm0000275,nm0000530,1938,1950,1959,1962,90.0,14.0,117.0,52.0,M,M,F,M
Beastmaster 2: Through the Portal of Time,Other,1991,tt0101412,-8918590.012855656,3.9,nm0001743,nm0001863,nm0235243,nm0369567,1948,1967,1952,1947,47.0,91.0,25.0,61.0,M,F,F,M
Amy,Drama,1981,tt0082017,0.0,4.5,nm0000256,nm0628017,nm0634303,nm0732468,1952,1930,1933,1938,119.0,65.0,242.0,102.0,F,M,F,M
Over the Rainbow,Drama,2002,tt0313445,3355874.506164466,4.7,nm0497631,nm0417532,nm1045837,nm4305476,1972,1974,1972,\N,35.0,9.0,11.0,2.0,M,F,M,M
Chala Murari Hero Banne,Other,1977,tt0075825,0.0,4.7,nm2147526,nm0331727,nm1566068,nm0359845,1941,1961,\N,1914,96.0,16.0,131.0,26.0,M,F,M,M
The Enemy,Drama,1927,tt0017850,0.0,4.8,nm0001273,nm0285391,nm0256247,nm0193005,1893,1904,1899,1857,41.0,27.0,5.0,25.0,F,M,M,M
Spiderhole,Other,2010,tt1496884,0.0,4.1,nm2472051,nm0341632,nm1899091,nm3045814,\N,1980,\N,\N,4.0,12.0,2.0,4.0,F,F,M,M
Herod's Law,Other,1999,tt0221344,0.0,4.8,nm0017343,nm0001917,nm0142910,nm0173062,1953,1940,1948,\N,367.0,700.0,92.0,60.0,M,M,F,M
Ziddi,Other,1964,tt0058772,0.0,4.7,nm0611535,nm0661239,nm0576454,nm0451863,1939,1942,1932,1940,19.0,49.0,70.0,100.0,M,F,M,F
Picture Bride,Drama,1994,tt0114129,0.0,4.6,nm0473802,nm0847425,nm0846480,nm0000674,1971,1969,1950,1966,24.0,3.0,49.0,74.0,F,M,M,F
Black Rider,Other,1993,tt0108056,0.0,5.2,nm0596173,nm0653678,nm0580930,nm0863483,\N,1957,1963,1934,3.0,2.0,11.0,3.0,F,M,M,M
Green Dolphin Street,Drama,1947,tt0039437,0.0,5.4,nm0001336,nm0001805,nm0001656,nm0366489,1908,1921,1921,1915,58.0,56.0,248.0,23.0,M,F,F,M
Nell,Other,1994,tt0110638,11609286.614221303,4.8,nm0000149,nm0000553,nm0001670,nm0508844,1962,1952,1963,1933,76.0,126.0,21.0,20.0,F,M,F,M
Monkey Business,Other,1952,tt0044916,11609286.614221303,4.8,nm0000026,nm0001677,nm0000054,nm0002013,1904,1911,1926,1877,67.0,77.0,19.0,71.0,M,F,F,M
The Teacher,Drama,1974,tt0072260,0.0,4.2,nm0866986,nm0636020,nm0416279,nm0773104,1942,1951,1942,1934,18.0,175.0,6.0,3.0,F,M,M,F
Seoul Jesus,Drama,1986,tt0091922,0.0,4.5,nm0014228,nm9017120,nm0437640,nm0453623,\N,\N,\N,1952,2.0,1.0,1.0,15.0,M,M,M,M
The Man with the Perfect Swing,Drama,1995,tt0113759,0.0,4.8,nm0988958,nm0767929,nm0673260,nm0067639,1959,\N,1949,1954,1.0,10.0,7.0,2.0,M,F,M,M
Someone to Watch Over Me,Drama,1987,tt0094008,-14004053.194084344,4.2,nm0000297,nm0000211,nm0000966,nm0001583,1949,1956,1954,1935,165.0,124.0,115.0,294.0,M,F,F,M
Monsters Crash the Pajama Party,Other,1965,tt0059466,0.0,4.2,nm0569143,nm0636590,nm1133771,nm1346996,1930,\N,\N,\N,3.0,1.0,1.0,1.0,M,M,M,F
I Could Never Be Your Woman,Drama,2007,tt0466839,-16468242.911853945,4.2,nm0000201,nm0748620,nm1519680,nm0001808,1958,1969,1994,1959,69.0,88.0,22.0,160.0,F,M,F,F
The Careless Years,Drama,1957,tt0050229,0.0,4.4,nm0001777,nm0874353,nm0488024,nm0082511,1936,1940,1914,1915,200.0,10.0,91.0,377.0,M,F,M,F
Red Beard,Drama,1965,tt0058888,0.0,4.9,nm0001536,nm0443232,nm0945734,nm0199029,1920,1937,1936,1935,138.0,58.0,46.0,61.0,M,M,M,F
Amar Bondhu Rashed,Other,2011,tt1918969,-39466.69840364247,4.9,nm4457938,nm14291803,nm4457942,nm7711938,\N,2003,\N,\N,1.0,3.0,1.0,1.0,M,M,M,M
Knife in the Water,Drama,1962,tt0056291,0.0,4.7,nm0631102,nm0880840,nm0538931,nm0162134,1923,1937,1938,1936,93.0,2.0,14.0,20.0,M,F,M,F
The Impatient Patient,Other,1942,tt0034888,0.0,4.6,nm0000305,,,,1908,,,,1938.0,,,,M,,,
Amador,Drama,2010,tt1477171,0.0,4.6,nm2008680,nm0119438,nm0796267,nm0971346,1986,1947,\N,1972,16.0,51.0,15.0,36.0,F,M,M,F
Salvage with a Smile,Other,1940,tt1873602,0.0,4.5,nm0539867,nm0365692,nm0793916,nm0606867,1873,1892,1903,1894,8.0,41.0,23.0,3.0,M,F,M,F
Mamarazzi,Other,2010,tt1698537,0.0,4.3,nm1291955,nm0643590,nm1109836,nm3343880,1971,1976,1973,1986,318.0,889.0,36.0,881.0,F,M,M,F
Squibs,Other,1935,tt0027037,0.0,4.4,nm0050151,nm0363104,nm0391361,nm0946410,1903,1885,1890,1878,17.0,46.0,54.0,11.0,F,M,M,F
George and Mildred,Other,1980,tt0138464,0.0,4.4,nm0431626,nm0614120,nm0424368,nm0260596,1927,1932,1925,1945,52.0,143.0,97.0,55.0,F,M,M,M
Crime Doctor,Drama,1943,tt0035766,0.0,4.5,nm0062828,nm0512267,nm0514344,nm0172615,1889,1910,1892,1889,65.0,60.0,99.0,90.0,M,F,M,M
Suburban Girl,Other,2007,tt0428579,0.0,4.3,nm0001264,nm0000285,nm1192254,nm0622553,1977,1958,1983,1945,307.0,231.0,97.0,67.0,F,M,F,M
Boot Polish,Other,1954,tt0046799,0.0,4.9,nm0045132,nm2727823,nm0008932,nm0121624,1944,1941,1909,\N,16.0,10.0,25.0,8.0,F,M,M,F
Yamraaj,Action/Adventure,1998,tt0287152,0.0,4.3,nm0149822,nm0998044,nm0006763,nm0802173,1950,1981,1957,1980,198.0,49.0,161.0,8.0,M,F,M,F
Kadosh,Drama,1999,tt0189630,0.0,4.6,nm0008404,nm0368701,nm0054167,nm0709355,1967,1966,1978,1963,88.0,28.0,2.0,16.0,F,M,F,M
College Coach,Drama,1933,tt0023899,0.0,4.4,nm0694090,nm0245304,nm0002285,nm0126365,1904,1911,1899,1872,95.0,48.0,107.0,12.0,M,F,M,M
Grace of My Heart,Other,1996,tt0116442,932201.6709637658,4.6,nm0001152,nm0001806,nm0101918,nm0681943,1961,1957,\N,1935,72.0,72.0,1.0,35.0,F,M,F,F
Images,Drama,1972,tt0068732,0.0,4.7,nm0948772,nm0041281,nm0102566,nm0587608,1939,1940,1929,1929,84.0,522.0,42.0,2.0,F,M,M,M
How They Get There,Other,1997,tt0351080,0.0,4.7,nm0119169,nm1659360,nm0327542,,1947,\N,\N,,2.0,2.0,1.0,,M,F,M,
God's Gift to Women,Other,1931,tt0021917,0.0,4.2,nm0269567,nm0478851,nm0000951,nm0935415,1891,1904,1906,1884,8.0,56.0,100.0,45.0,M,F,F,M
The Gorgon,Drama,1964,tt0058155,0.0,4.5,nm0000489,nm0001088,nm0664390,nm0791176,1922,1913,1926,1932,178.0,91.0,31.0,54.0,M,M,M,F
The Prime of Miss Jean Brodie,Drama,1969,tt0064840,0.0,5.3,nm0001749,nm0413561,nm0827137,nm0291512,1934,1923,1931,1950,50.0,115.0,55.0,34.0,F,M,M,F
Sioux City,Drama,1994,tt0111199,0.0,4.4,nm0001617,nm0724757,nm0227039,nm0194006,1962,1967,1939,1959,181.0,184.0,27.0,19.0,M,F,F,F
Count Your Blessings,Drama,1959,tt0052706,0.0,4.2,nm0000039,nm0106387,nm0002001,nm0827101,1921,1916,1888,1949,51.0,116.0,48.0,3.0,F,M,M,M
Garage Days,Other,2002,tt0280696,0.0,4.4,nm0348748,nm0822222,nm0592180,nm0245873,1978,\N,1973,\N,28.0,26.0,23.0,50.0,M,F,F,M
"Laugh, Clown, Laugh",Drama,1928,tt0019074,-4042566.10976202,4.7,nm0151606,nm0796900,nm0949835,nm0280201,1883,1868,1913,1873,67.0,13.0,226.0,19.0,M,M,F,F
A Shot in the Dark,Other,1964,tt0058586,0.0,4.7,nm0000634,nm0813961,nm0001695,nm0007042,1925,1940,1906,1917,94.0,62.0,106.0,95.0,M,F,M,M
Half-Fare Hare,Other,1956,tt0049289,0.0,4.6,nm0000305,nm0124889,,,1908,1916,,,1938.0,1431.0,,,M,M,,
It's Breaking News,Other,2007,tt1074201,0.0,4.3,nm0032552,nm3575564,nm3574890,nm2961609,1951,\N,\N,\N,209.0,1.0,251.0,4.0,M,M,F,M
Shaft,Drama,1971,tt0067741,-23386161.76167936,4.7,nm0745780,nm0348214,nm0162541,nm0820626,1942,1929,1935,\N,91.0,27.0,38.0,2.0,M,M,M,M
Just Wright,Drama,2010,tt1407061,11609286.614221303,4.6,nm0001451,nm0996669,nm1745736,nm0681782,1970,1972,1975,1954,205.0,72.0,42.0,223.0,F,M,F,M
