Movie_name,Plot_summary,Top_genres,averageRating,neg,neu,pos,compound
AK-47,"Raam  lives in Bangalore with his parents and sister. He is in love with his neighbour. During his college days, Pratap had strongly protested against the dirty politics indulged in by students. Meanwhile his father Jagannath  is transferred from Bangalore to Mumbai. In Mumbai, they meet Commissioner Yashwant Sinha , who is a metaphor of fear for Mumbai mafia and international terrorist Dawood .The story takes a turn when Raam's classmate Anand introduces Irfan and Arun to him and in some way, these two lads manage to stay under the roof of Pratap for one week and plots the murder of cop Yashwant Sinha.Then Raam is framed in the case.The movie shows how he struggles to come out of the case.
",Action_Adventure,,0.14,0.814,0.045,-0.9217
Main Chup Rahungi,"Narayan  works as a laborer on a farmland owned by businessman Ratan Kumar, in Ramnagar. Although Narayan was an ex-convict, Ratan had assisted him getting a job, some land, and a small house where he now lives with his grown daughter, Gayetri , who used to work as a teacher. To his complete shock, Narayan finds out that Gayetri is pregnant. Ratan asks Narayan to take some money and relocate, which Narayan gratefully does. Gayetri gives birth to a baby boy, and Narayan takes him to an orphanage donated by Ratan himself, and informs Gayetri that her child was still-born. Gayetri and Narayan eventually return to Ramnagar, and as luck woould have it, Gayetri finds a job as a teacher in th orphanage that her son  lives in. When Ratan's son, Kamal , returns from Singapore, he meets Shyam and likes him, but when he finds out that his school-teacher is Gayetri, he demands that Gayetri be fired as she is not of good character. Who is Shyam's father, why Gayetri remains silent about her child's identity, and what Kamal knows about Gayetri's background are the questions to be discovered later in the film.
",Family,7.7,0.048,0.923,0.029,-0.7058
Never Say Never Again,"After MI6 agent James Bond, 007 fails a routine training exercise, his superior, M, orders Bond to enrol in a health clinic in London to get back into shape. While there, Bond witnesses a mysterious nurse named Fatima Blush giving a sadomasochistic beating to a patient in a nearby room. The man's face is bandaged and after Fatima finishes her beating, Bond sees the patient using a machine which scans his eye. Bond is seen by Blush and an attempt is subsequently made to kill him in the clinic gym: however Bond manages to defeat the assassin. Blush and her charge, a United States Air Force pilot named Jack Petachi, are operatives of SPECTRE, a criminal organisation run by Ernst Stavro Blofeld. Petachi has undergone an operation on his right eye to make it match the retinal pattern of the US President, which he uses to circumvent security at an American military base in England. While doing so, he replaces the dummy warheads in two cruise missiles with live nuclear warheads; SPECTRE then obtains the warheads to extort billions of dollars from NATO governments. Blush subsequently murders Petachi. Under orders from the Prime Minister, M reluctantly reactivates the double-0 section and Bond is assigned the task of tracking down the missing weapons. Before leaving, he is outfitted with several gadgets by Q Branch, including a fountain pen that shoots an explosive dart. He meets Domino Petachi, the pilot's sister, and her wealthy lover, Maximillian Largo, another SPECTRE agent. Bond follows Largo and his yacht to the Bahamas, where he spars with Fatima Blush and Largo. Bond is informed by Nigel Small-Fawcett of the British Consulate that Largo's yacht is now heading for Nice, France. There, Bond joins forces with his CIA counterpart, Felix Leiter. Bond goes to a beauty salon where he poses as an employee and, whilst giving Domino a massage, is informed by her that Largo is hosting an event at a casino that evening. At the charity event, Largo and Bond play a 3-D video game called Domination, which Bond ultimately wins; Bond then informs Domino of her brother's death. Bond returns to his villa to find Nicole, his French contact, dead, having been killed by Blush. After a vehicle chase on his motorbike, Blush captures Bond. Forced to write his memoirs putting her as his ""Number One"" sexual partner, Bond uses his MI6-issue fountain pen to shoot Blush. Bond and Felix then attempt to board Largo's motor yacht, the Flying Saucer, in search of the missing nuclear warheads. Bond becomes trapped and is taken, with Domino, to Palmyra, Largo's base of operations in North Africa. Largo punishes Domino for betraying him by auctioning her off to some passing Arabs. Bond subsequently escapes and rescues Domino. After her rescue, Domino and Bond reunite with Felix on a US Navy submarine and track Largo to a location known as The Tears of Allah, below a desert oasis. Bond and Leiter infiltrate the underground facility and a gun battle erupts between Felix's team and Largo's men in the temple. In the confusion Largo makes a getaway with one of the warheads. Bond catches and fights Largo underwater. Just as Largo tries to detonate the last bomb, he is killed by Domino, taking revenge for her brother's death. Bond then returns to the Bahamas with Domino.
",Drama,6.1,0.138,0.794,0.068,-0.9928
The Heartbreak Kid,"Christina Papadopoulos  is a sweet and well-meaning 22-year-old school teacher, engaged to ambitious lawyer Dimitri . Christina's entire future seems planned out for her - albeit planned by her fiancé, her father and her priest. Lively 17-year-old Nick Polides  is a student in Christina's class. Nick and Christina find themselves attracted to each other as both begin to rebel against the constricting Greek-Australian cultural restraints put upon them. When Christina becomes the Coach of the school's soccer team, she and Nick begin to spend more time together outside of school hours. Soon their mutual attraction ignites into an illicit, passionate affair.
",Other,6.2,0.014,0.805,0.181,0.9601
On the Beat,"Sur le rythme is a romantic comedy about the world of dance. Delphine Lamarre  a 20 years old student has to choose between medicine, her parents'  wish, and her dreams of a career in dancing.
",Drama,5.2,0.0,0.745,0.255,0.8625
The Mechanical Monsters," The story starts as one of the robots flies into a scientist's secret lair and unloads a pile of cash into a vault. The robot is controlled completely from the scientists command center, and we see that he is one of many robots similar to him, lined up along the walls of the lair. Next, we see the front page of the Daily Planet, reporting the ""mechanical monsters"" robbery right alongside an announcement for the display of 50&nbsp;million dollars of the world's rarest gems at the local museum.  Later, as Lois and Clark are covering the museum's exhibit for the Planet, a robot lands in the street outside. The police pelt it with machine gun fire as it marches towards the museum, but the bullets bounce harmlessly off. Museum visitors, including Clark and Lois, flee as the monster marches towards the jewels and begins loading them into an opening in its back. While Clark phones the Planet from the nearest phone booth, Lois climbs into the monster's back, just as the monster leaves the museum and takes off into the sky. Clark emerges from the booth, notices Lois gone, and says, ""This is a job for Superman!"" He goes back into the phone booth and changes his clothes, emerging in his classic red-and-blue costume. Flying high above the city, Superman spots the robot and uses his X-ray vision to see Lois inside with the jewels.  He lands on it and struggles to open the door in its back, only to have the scientist maneuver the robot upside down and throw him off into a power line, tangling him in the wires. As the robot is upside down, the door flies open and all the jewels fall out, with Lois surviving only by hanging for dear life until the robot flips back over. As Superman struggles to free himself from the wires, the robot arrives at the lair, but instead of jewels, the scientist finds Lois in its payload. Infuriated, he demands that she tell him where the jewels are. The next time we see her, she is bound and gagged on a platform held over a pot of boiling metal in part of what appears to be an industrial foundry. The scientist pulls a lever which starts some machinery gradually lowering her closer and closer to the liquid. Meanwhile, Superman frees himself from the power lines and knocks down the door to the scientist's lair, only to meet the army of robots . Under the scientist's control, the robots emit fire from nozzles positioned on the lower part of their heads, encircle Superman, and pound him with their fists. Initially, the robots seem to have the upper hand, beating Superman to the ground, but Superman defeats them, sending the scientist running. When Superman catches up with him, he is holding a knife to the rope holding Lois' platform above the molten metal, and threatens to cut it if he takes another step. Superman makes a move, the rope is cut, and Superman speeds across the room to catch Lois just in time, landing on a ledge below the pot of molten metal and the scientist. The scientist then pulls a lever to dump the hot liquid on them, but Superman shields Lois with his cape, then grabs the scientist and flies from the lair to take him and Lois back to the city. The film ends with a shot of the next issue of the Planet, describing the latest adventure -- Superman stopped the mechanical monsters, the scientist was arrested and the jewels are recovered. In the office, Clark says ""That's a wonderful story, Lois."" She replies, ""Thanks Clark, but I owe it all to Superman."" Clark smiles.
",Fiction,,0.075,0.834,0.091,0.9463
Elavamkodu Desam,"Jathavedan is invited to Elavamkodu Desam, a princely state in pre-independent India, to treat the king's wife. He comes to know that Unikkoman, the wicked king of Elavamkodu Desam, rose to power in coup and killing the noble king Udayavarman. How Jathavedan raises an army to bring the crown back to its true owner form the crux of the story.
",Drama,5.6,0.109,0.771,0.119,-0.0772
Girl Crazy,"Tommy McIntosh  was raised by adoring women and he learned to himself adore women. He has a neurotic antipathy toward men. He gets into trouble when Rachel , the one woman to whom he has professed eternal love finds out he's been sleeping around. To win her back he must learn how to be a man.
",Other,,0.073,0.711,0.216,0.9022
Ebenezer,"Ebenezer Scrooge is the most greedy, corrupt and mean-spirited crook in the old West and he sees no value in ""Holiday Humbug."" But when the ghosts of Christmas Past, Present and Future open his eyes, Scrooge discovers that love and friendships are the greatest wealth of all.
",Drama,,0.051,0.62,0.328,0.9676
The Magnificent Seven Ride,"{{plot}} In southern Arizona territory, former hired gun-turned-marshal Chris Adams rescues his old friend, former bounty hunter Jim Mackay from an ambush. After recovering from his long ride across the desert, Jim asks Chris to help him defend the small Mexican border town of Magdalena, which has come under constant attack by bandit De Toro and his men. Having recently married and assumed his job as marshal, however, Chris is reluctant to assist Jim, despite their long friendship. Later, Chris refuses the request of his wife Arrila to release jailed teenager Shelly Donavan, who is charged with robbery, insisting that Donavan needs to be responsible for his actions. Chris then meets with newspaper writer Noah Forbes who wants to write the story of Chris's eventful and brutal career. The next morning, while loading bitter prisoners Pepe Carral, Walt Drummond and Donavan onto the Tucson prison wagon transport, Chris abruptly decides to let Donavan go free. While Chris meets Noah to discuss his exploits, Donavan joins his friends, brothers Hank and Bob Allen to celebrate his release. Goaded into action by the Allens' observation that their drab lives as farmers remain unchanged, Donavan leads the pair in a bank robbery just as Arrila meets Chris and Noah in the street outside the bank. Wounding Chris, Donavan abducts Arrila and rides away with the Allens. Reviving two days later, Chris immediately goes in search of Arrila, despite his injury, and agrees to let Noah accompany him. In the desert, Noah and Chris find Arrila's dead body, which galvanizes Chris to find Donavan and exact revenge. That night, Chris tracks down the Allens and demands to know Donavan's whereabouts. Confident that Chris, as marshal, must take them back to town for a trial unharmed, Hank reveals that Donavan has fled to Mexico and admits that Arrila was raped and tortured before her murder. Chris shoots Hank, and Bob, pleading for his life, insists that he did not join in the assault. Accusing him of allowing Arrila's attack, Chris then shoots Bob as Noah looks on in shock. Continuing his search for Donavan, Chris rides on toward the Mexican border and finds Jim with a group of armed farmers from Magdalena hiding on a ridge, hoping to ambush De Toro. After Jim reveals that Donavan rode by the previous day, he again asks Chris to support him, but Chris refuses and tells his friend he is badly outnumbered and will be slaughtered. Chris and Noah depart, tracking Donavan through the desert, only to find themselves circling back toward Jim's location. Hearing distant gunfire, the men hurry to the ridge, but find the farmers dead, although Jim is not among them. Chris reflects that the men of Magdalena have likely left their wives unprotected and, assuming Jim will have returned there, rides into Mexico with the uncertain Noah. Arriving in Magdalena, Chris spots three bandits around the mission and after shooting them, enters the church to find the handful of townswomen who have been raped and beaten. Laurie Gunn explains that the seventeen women were defenseless against De Toro and his more than forty men who arrived the previous day declaring the women's husbands had been massacred. Although Laurie and the women plead with Chris to take them away from Magdalena before De Toro's return, he points out there are no horses and a desert trek would kill them. Realizing that the American Cavalry will not cross the border, Chris wonders how to defend the women. Promising to return to help the frantic women, Chris and Noah ride away toward Tucson. Not far from Magdalena, the pair come upon the bodies of Jim, Donavan and the remaining farmers. At Tucson, Chris meets with the governor then travels to the prison where he presents the skeptical warden with a request to pardon the last five prisoners he arrested, all of whom are tough, violent men: Pepe, Walt, Scott Elliott, Mark Skinner and former Confederate captain Andy Hayes. Meeting the men, Chris explains he will sign their pardons only if they agree to join his posse. Although suspicious and hostile, the men grudgingly agree. Loaded with supplies from the prison, the group departs for De Toro's hacienda, which Jim had described earlier. Arriving just outside of the hacienda and confirming that only a few men are posted as guards, Chris tells the men to raid the house and take anything they desire. Although doubtful, the men agree and quickly overcome the guards and loot the home. Finding De Toro's woman there, Chris orders her taken captive and as the men ride off to Magdalena, Chris tells the men that if they try to escape before he signs the pardons, they will be hunted in America and De Toro will hound them through Mexico for destroying his home. Realizing they have no alternative, the men give up their ideas of breaking away in Mexico and continue to Magdalena where Laurie and the grateful women wait. Suspecting they may have only a day to prepare before De Toro tracks them, Chris designs an elaborate plan of attack using the supplies of long-range rifles, dynamite, barbed wire and repeating rifles. The next day with the women's assistance and under former construction worker Elliott's guidance, the group digs several ditches, building several post and barbed wire fences at specific points leading back into the town. Elliott also constructs hidden barriers across mountain trails into the town. The following day, with the women trained in reloading the weapons, the group awaits De Toro's arrival. When the bandits attack, the initial assault with the long-range guns, sends the outlaws into disarray. Chris and the others retreat as planned to the second line of defense, which, protected by Elliott's clever rigged barbed fence, cuts off another large segment of the bandits who are then dynamited. Walt, Hayes and Elliott are killed and Noah wounded as the group retreats into the town behind another rigged barricade. During a brief lull, Chris goes into the mission where De Toro's woman and the town children are being kept, and tells Laurie that as a last resort they will lure the bandits inside and blow up the church. When De Toro's renewed assault comes, Pepe is killed. Hearing the bandits approaching the mission, Laurie prepares to detonate the dynamite, but first sets De Toro's woman free. The woman rushes outside into the gunfight and is accidentally shot down by De Toro himself. Momentarily stunned, De Toro pauses, and Chris kills him. Dismayed by the death of their leader, the remaining bandits ride away. Relieved to have survived, Chris, Noah and Skinner agree to stay in Magdalena and start new lives.
",Action_Adventure,,0.145,0.779,0.076,-0.9983
