Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
suicide,14,3,10,7,11,11,56
self,7,4,7,21,9,7,55
water,8,2,12,14,12,7,55
law,12,1,9,9,18,6,55
word,11,3,15,7,10,9,55
thing,11,3,10,11,7,12,54
street,12,6,8,10,9,9,54
front,8,5,16,7,7,10,53
memory,11,4,10,17,5,6,53
new,13,9,4,15,4,7,52
student,8,6,11,6,5,16,52
control,9,2,4,18,12,7,52
gang,7,4,9,9,19,4,52
prison,15,4,6,6,11,9,51
captain,12,0,3,14,18,4,51
land,7,7,7,9,18,3,51
result,12,2,8,13,9,7,51
month,12,1,9,13,9,7,51
moment,7,1,13,13,9,8,51
process,8,1,11,12,7,12,51
mind,7,5,8,16,8,6,50
american,12,7,3,7,17,4,50
soldier,12,6,6,1,20,5,50
eye,8,7,9,10,3,13,50
action,13,3,8,11,11,4,50
news,11,8,7,10,8,5,49
office,12,6,8,5,10,8,49
revenge,11,4,4,4,10,15,48
dream,9,4,12,10,2,11,48
blood,2,1,5,5,11,24,48
letter,14,1,9,9,7,8,48
character,9,5,9,14,7,4,48
couple,5,6,16,8,3,9,47
ship,3,0,3,25,11,5,47
plot,8,8,11,5,7,8,47
act,13,4,10,1,11,8,47
crew,10,1,1,17,8,10,47
company,13,7,7,8,6,5,46
government,3,7,8,17,8,3,46
escape,15,0,3,10,5,13,46
guard,14,1,5,5,13,8,46
train,5,2,7,8,16,7,45
hope,10,3,10,8,8,6,45
machine,11,1,4,17,6,5,44
wall,6,2,4,7,9,16,44
past,8,3,7,13,8,5,44
identity,12,5,6,4,9,8,44
line,8,4,7,10,10,5,44
pair,4,3,8,8,10,11,44
space,4,1,3,32,1,3,44
wedding,5,4,16,6,8,4,43
search,6,5,6,9,11,6,43
ground,7,1,6,13,8,8,43
station,9,2,9,6,11,6,43
music,6,5,15,9,4,4,43
fact,8,6,4,8,8,9,43
number,7,3,8,14,6,5,43
owner,9,5,7,4,10,8,43
case,12,6,2,8,8,7,43
series,6,2,5,12,4,14,43
area,4,3,1,13,16,6,43
business,12,6,9,3,8,5,43
weapon,10,2,1,14,6,9,42
food,7,5,10,8,6,6,42
future,7,8,3,18,4,2,42
river,4,6,6,5,13,7,41
voice,4,6,10,6,7,8,41
struggle,7,5,7,6,5,11,41
lover,9,4,5,6,4,13,41
childhood,9,5,8,6,8,5,41
care,8,3,8,8,5,8,40
creature,2,1,4,19,2,12,40
effort,5,9,5,9,7,5,40
charge,14,1,3,4,14,4,40
king,7,5,9,5,10,4,40
trip,9,2,6,11,6,6,40
girlfriend,11,2,2,6,9,9,39
air,6,3,10,10,4,6,39
apartment,12,2,5,9,0,11,39
age,8,3,11,5,4,8,39
condition,8,3,9,5,8,6,39
problem,3,6,9,3,11,7,39
crime,16,1,3,4,8,6,38
form,3,4,8,11,2,10,38
mr.,7,3,6,8,6,8,38
meeting,16,0,5,9,4,4,38
piece,8,4,5,10,7,4,38
bed,4,1,7,9,4,12,37
mission,9,2,5,9,10,2,37
information,9,2,5,9,9,3,37
century,7,3,3,10,5,9,37
evening,4,1,8,6,6,12,37
note,10,1,6,7,9,4,37
book,6,2,4,10,3,11,36
worker,9,6,6,5,6,4,36
chance,5,2,9,7,6,7,36
journey,4,7,5,7,6,7,36
funeral,7,3,3,8,6,9,36
country,6,4,8,3,10,5,36
effect,5,4,4,13,0,10,36
agent,11,1,5,10,4,5,36
team,8,1,4,12,7,3,35
john,8,3,3,10,6,5,35
planet,1,2,1,28,2,1,35
wound,9,0,2,6,8,10,35
god,6,1,9,6,8,5,35
encounter,3,6,3,8,6,9,35
professor,3,2,6,13,1,9,34
prisoner,9,2,2,4,12,5,34
attention,7,1,7,8,8,3,34
reason,8,4,8,5,6,3,34
star,4,2,8,11,3,5,33
command,11,1,2,10,8,1,33
idea,4,3,15,8,1,2,33
camera,5,3,3,10,4,8,33
forest,2,3,6,9,8,5,33
incident,5,4,7,4,10,3,33
accident,4,4,6,10,3,6,33
chief,9,5,3,7,8,1,33
audience,5,3,6,9,3,7,33
united,7,3,3,10,6,4,33
tree,3,1,5,8,8,7,32
crowd,12,0,3,5,8,4,32
horse,3,1,4,6,14,4,32
uncle,6,7,7,2,8,2,32
road,4,4,8,6,4,6,32
show,8,2,8,6,3,5,32
interest,4,3,8,6,10,1,32
victim,8,2,2,4,4,12,32
call,10,1,3,7,3,8,32
affair,6,6,8,2,4,6,32
villager,5,6,5,3,11,2,32
back,10,1,6,6,2,7,32
survivor,3,1,1,9,10,8,32
game,12,4,4,3,3,5,31
witness,9,3,3,3,7,6,31
troop,8,2,1,3,17,0,31
career,9,4,7,4,3,4,31
song,5,6,11,5,2,2,31
class,3,5,10,2,5,6,31
fear,3,2,3,8,7,8,31
feeling,4,2,15,5,5,0,31
light,3,3,4,9,3,9,31
living,6,1,6,5,2,11,31
safety,3,1,3,10,6,8,31
top,4,2,6,7,6,6,31
service,5,6,3,6,9,2,31
sea,4,1,2,9,6,8,30
states,7,2,3,8,6,4,30
course,5,6,2,10,4,3,30
peace,7,3,3,3,8,6,30
camp,8,4,4,2,10,2,30
deal,8,2,6,5,6,3,30
visit,5,0,12,6,3,4,30
phone,8,2,2,5,5,8,30
bomb,11,1,2,12,2,2,30
director,5,9,3,6,1,6,30
term,5,2,8,5,6,4,30
chase,4,1,8,3,8,6,30
system,6,3,3,10,5,2,29
foot,5,2,6,2,9,5,29
danger,2,2,3,6,6,10,29
success,7,2,6,4,3,7,29
trouble,3,0,8,5,11,2,29
week,5,4,6,7,0,7,29
race,3,1,2,14,5,4,29
fate,3,5,5,9,2,5,29
human,3,0,4,14,2,6,29
rescue,2,1,4,11,5,6,29
york,9,5,1,7,2,5,29
sight,4,4,5,8,5,3,29
sound,3,1,6,9,4,6,29
ability,3,3,5,8,3,6,28
decision,7,7,3,3,7,1,28
behavior,3,1,5,5,10,4,28
bar,5,0,4,8,4,7,28
india,2,7,13,1,5,0,28
shot,3,0,5,9,9,2,28
change,7,3,6,6,0,6,28
monster,0,0,3,10,1,14,28
experience,4,4,4,6,5,5,28
device,3,1,0,21,2,1,28
nature,4,2,2,9,3,8,28
birth,6,3,7,4,2,6,28
knife,6,3,0,1,2,16,28
evidence,11,2,3,7,4,1,28
version,1,2,8,11,3,3,28
flight,6,1,4,6,6,4,27
truck,6,0,4,7,4,6,27
servant,5,3,8,4,2,5,27
report,6,3,2,7,3,6,27
cause,4,1,5,5,5,7,27
mountain,4,2,3,7,7,4,27
scientist,0,2,0,22,0,3,27
explosion,5,0,3,13,3,3,27
position,9,2,3,5,6,2,27
spirit,5,1,7,2,1,11,27
lieutenant,8,0,2,4,9,4,27
grave,5,0,1,3,4,14,27
ring,5,3,4,4,5,6,27
master,5,0,5,5,9,3,27
island,3,0,4,7,5,8,27
anger,5,4,7,2,8,1,27
enemy,10,2,3,1,11,0,27
floor,8,0,1,6,3,9,27
role,8,2,7,3,2,5,27
colleague,5,0,3,7,6,5,26
jail,8,2,4,0,6,6,26
stage,4,1,7,5,4,5,26
reality,5,3,3,7,4,4,26
dance,4,2,12,3,1,4,26
horror,4,1,2,5,0,14,26
loss,7,4,4,3,5,3,26
hero,5,2,1,6,8,4,26
victory,5,0,3,4,12,2,26
flashback,5,2,7,2,7,3,26
baby,6,0,6,4,6,4,26
guy,4,4,4,2,8,4,26
arrive,4,0,4,2,6,10,26
credit,6,0,7,7,2,4,26
freedom,4,1,10,3,6,2,26
turn,5,4,7,2,7,1,26
assistant,2,1,5,8,2,8,26
match,3,1,6,7,6,3,26
figure,5,2,1,3,3,11,25
exchange,6,2,6,4,5,2,25
u.s.,5,1,0,8,7,4,25
half,5,2,4,6,6,2,25
surprise,3,0,8,4,8,2,25
location,3,2,1,7,6,6,25
sword,5,0,3,3,11,3,25
driver,7,1,5,3,7,2,25
middle,4,2,3,3,6,7,25
court,6,5,6,0,7,1,25
friendship,8,5,2,6,4,0,25
corpse,3,0,2,4,3,13,25
advice,3,2,6,6,3,5,25
question,7,5,3,4,2,4,25
dog,3,0,4,6,2,10,25
drug,12,1,2,5,2,2,24
activity,5,3,2,5,5,4,24
wish,2,3,8,2,2,7,24
cat,3,3,4,6,2,6,24
minute,4,0,2,9,2,7,24
lord,5,0,6,0,8,5,24
conversation,4,0,5,9,4,2,24
presence,4,2,3,7,4,4,24
killer,6,1,0,3,8,6,24
opening,5,4,3,3,3,6,24
hour,4,4,2,7,5,2,24
shelter,6,1,6,5,4,2,24
operation,11,0,2,3,3,5,24
ii,9,2,0,4,4,5,24
german,11,1,2,1,6,3,24
partner,4,1,5,3,9,2,24
boat,6,0,4,6,2,6,24
priest,4,1,2,2,5,10,24
neck,3,0,1,3,5,12,24
shock,3,3,2,7,3,6,24
affection,6,5,4,2,6,1,24
offer,2,3,3,5,9,2,24
test,0,1,5,10,1,7,24
sex,5,1,0,10,1,7,24
castle,1,0,5,3,3,12,24
dinner,1,1,2,8,3,9,24
field,4,2,4,6,5,3,24
warning,6,3,1,5,3,6,24
minister,7,3,5,4,4,1,24
gold,2,3,3,5,10,1,24
bos,8,2,6,3,3,1,23
release,8,0,6,4,3,2,23
bank,8,2,3,1,6,3,23
soul,0,1,5,3,2,12,23
injury,4,1,2,4,2,10,23
art,1,3,8,5,5,1,23
performance,4,1,7,1,3,7,23
commander,5,0,2,6,8,2,23
trap,3,0,1,5,6,8,23
sign,7,0,3,4,4,5,23
british,2,3,6,3,8,1,23
society,2,5,3,7,2,4,23
general,9,1,1,5,7,0,23
request,8,0,6,3,2,4,23
break,5,2,2,4,5,5,23
while,6,0,4,4,5,4,23
health,2,2,5,5,3,6,23
indian,3,1,8,0,11,0,23
ensues,2,1,5,4,5,5,22
estate,7,3,2,4,2,4,22
hotel,6,1,4,3,4,4,22
travel,4,2,3,11,2,0,22
bridge,5,2,3,4,3,5,22
basement,4,1,2,5,0,10,22
shop,5,1,8,3,1,4,22
london,2,2,4,5,2,7,22
college,7,2,8,1,0,4,22
television,2,1,5,6,3,5,22
choice,3,2,5,4,5,3,22
mistake,2,2,9,5,2,2,22
knowledge,5,0,5,7,2,3,22
cell,5,0,1,4,6,6,22
security,5,2,0,5,6,4,22
lady,1,2,10,3,2,4,22
response,5,1,3,9,3,1,22
reporter,2,2,1,5,7,5,22
history,4,4,2,7,4,1,22
hill,2,0,6,6,2,6,22
teacher,4,2,7,1,1,7,22
temple,5,1,7,2,4,3,22
raid,8,2,2,3,4,3,22
will,3,2,5,4,3,4,21
support,4,4,3,0,7,3,21
site,3,1,4,4,3,6,21
destruction,5,1,2,10,1,2,21
message,2,0,2,8,4,5,21
treatment,7,2,6,2,1,3,21
pursuit,4,1,4,2,7,3,21
supply,5,0,1,5,6,4,21
run,3,0,6,3,6,3,21
authority,7,1,2,2,3,6,21
restaurant,7,2,6,3,2,1,21
hunter,3,1,3,2,7,5,21
youth,4,5,5,3,1,3,21
band,3,0,4,3,9,2,21
lack,3,1,2,5,7,3,21
energy,4,0,4,11,1,1,21
guilt,3,1,7,3,2,5,21
rage,5,1,3,2,3,7,21
gas,0,2,1,12,2,4,21
wood,1,1,1,4,4,10,21
contact,5,1,4,6,3,2,21
pilot,5,0,3,10,2,1,21
board,3,2,4,5,5,2,21
ocean,2,1,3,10,5,0,21
date,3,1,3,12,1,1,21
grandfather,2,3,7,2,3,3,20
mrs.,5,0,4,3,1,7,20
wake,3,2,3,4,3,5,20
argument,3,4,5,1,5,2,20
relative,8,1,5,1,4,1,20
lot,2,3,5,3,5,2,20
plane,5,0,5,5,3,2,20
resident,0,3,4,2,4,7,20
step,3,1,5,6,2,3,20
opportunity,7,0,6,1,4,2,20
beginning,7,2,3,4,3,1,20
community,6,6,2,2,2,2,20
newspaper,5,0,6,2,3,4,20
storm,1,0,3,9,2,5,20
table,1,1,3,6,4,5,20
climax,1,5,8,3,2,1,20
photograph,6,2,2,3,3,4,20
interview,5,8,2,0,5,0,20
promise,8,2,6,1,2,1,20
second,2,2,1,8,4,3,20
ceremony,2,1,7,4,2,4,20
thief,5,2,7,1,4,1,20
trial,5,2,3,4,5,1,20
english,1,1,3,5,9,1,20
singer,5,3,9,1,0,2,20
image,2,4,1,6,5,2,20
secret,3,2,3,3,6,3,20
watch,4,0,4,3,7,2,20
henry,3,2,3,5,3,4,20
investigation,6,1,2,3,3,5,20
record,4,3,0,5,5,3,20
arrival,1,1,4,5,7,2,20
bus,3,2,7,2,2,4,20
fighter,6,0,5,3,6,0,20
george,5,4,0,7,2,2,20
gift,5,0,5,5,3,2,20
defense,4,1,0,7,5,3,20
mouth,6,1,3,4,4,2,20
kid,3,3,6,3,2,2,19
park,3,5,4,4,2,1,19
execution,4,2,2,3,4,4,19
track,4,0,4,3,6,2,19
humanity,4,2,3,8,1,1,19
move,1,1,4,5,5,3,19
thanks,3,0,8,3,2,3,19
radio,2,1,4,5,2,5,19
good,0,2,3,6,2,6,19
property,3,3,2,3,6,2,19
set,1,1,2,4,3,8,19
leaf,2,1,6,3,2,5,19
object,2,1,0,8,2,6,19
picture,1,3,5,2,5,3,19
appearance,2,2,3,6,2,4,19
farmer,4,2,3,2,5,3,19
widow,8,3,3,3,1,1,19
training,4,3,3,2,4,3,19
university,3,2,7,3,0,4,19
use,4,2,2,7,1,3,19
eve,5,1,3,5,2,3,19
center,5,3,2,4,3,2,19
hair,1,1,2,6,3,6,19
leg,5,0,3,2,4,5,19
store,3,1,2,5,3,5,19
boyfriend,5,2,3,3,1,5,19
chaos,4,0,2,6,4,3,19
ex,4,0,3,2,5,5,19
sequence,2,1,4,7,1,4,19
pain,3,0,1,5,1,9,19
fortune,3,1,6,3,4,1,18
official,5,3,5,3,2,0,18
hall,3,2,2,3,1,7,18
theater,2,2,3,4,1,6,18
heir,3,2,6,1,3,3,18
inspector,0,0,6,2,3,7,18
remains,2,0,3,9,0,4,18
henchman,5,0,3,3,7,0,18
sky,2,1,2,8,3,2,18
title,4,1,5,1,4,3,18
bag,2,1,8,0,6,1,18
card,4,1,2,4,5,2,18
military,3,0,1,5,5,4,18
rebel,4,2,1,3,6,2,18
difficulty,3,5,4,3,1,2,18
moon,0,2,3,8,0,5,18
engagement,2,0,6,2,5,3,18
prince,3,1,7,2,4,1,18
birthday,6,2,5,4,0,1,18
kind,2,0,5,5,2,4,18
task,3,1,1,4,6,3,18
the united states,3,1,2,6,3,3,18
border,5,0,4,1,7,1,18
james,2,1,3,3,7,2,18
refuge,7,1,0,1,4,5,18
tom,6,0,1,3,5,3,18
panic,4,1,1,3,1,8,18
threat,5,2,2,2,3,4,18
box,2,0,8,1,0,7,18
study,1,4,7,3,3,0,18
laboratory,1,1,0,11,0,5,18
nurse,6,1,0,0,2,9,18
post,6,0,1,1,9,1,18
ghost,1,0,0,2,1,14,18
consequence,5,4,2,2,3,2,18
web,3,4,4,4,2,1,18
union,4,0,5,3,6,0,18
vision,3,1,1,6,2,5,18
wave,3,0,2,8,5,0,18
belief,5,3,4,1,1,3,17
matter,4,0,2,5,3,3,17
passenger,3,2,2,4,4,2,17
david,2,3,1,5,0,6,17
photo,6,0,2,1,4,4,17
duel,4,0,1,2,10,0,17
violence,4,1,2,3,3,4,17
frank,4,1,0,1,7,4,17
neighbor,6,0,2,3,2,4,17
glass,1,1,4,2,1,8,17
rock,1,0,5,4,5,2,17
fall,4,1,5,4,2,1,17
bedroom,2,1,2,2,1,9,17
artist,2,3,4,3,4,1,17
skill,3,2,6,0,5,1,17
national,4,4,2,2,4,1,17
research,1,2,1,7,1,5,17
french,7,0,2,3,5,0,17
hole,2,1,2,7,1,4,17
demand,5,0,3,3,3,3,17
pistol,5,0,0,3,6,3,17
science,2,0,1,10,1,3,17
favor,5,3,1,1,4,3,17
assistance,2,0,2,6,5,2,17
assault,4,0,1,4,6,2,17
corner,1,0,7,1,3,5,17
church,2,2,2,2,4,5,17
tank,7,0,1,6,2,1,17
unit,6,0,0,6,4,1,17
experiment,0,2,0,9,0,6,17
intelligence,5,0,4,5,2,1,17
project,3,3,2,5,0,4,17
bullet,5,1,0,1,6,4,17
screen,2,0,6,4,3,2,17
slave,6,1,1,1,5,3,17
desert,1,1,2,6,5,2,17
finger,4,1,1,2,2,7,17
surface,3,1,0,6,2,5,17
despair,2,2,4,3,1,5,17
actor,4,2,3,4,2,2,17
edge,1,1,4,4,4,3,17
west,2,1,3,4,6,1,17
alien,1,0,1,14,1,0,17
england,0,0,2,1,5,9,17
distance,2,0,3,4,6,2,17
east,4,1,3,1,3,5,17
tale,4,3,2,1,3,4,17
patient,5,0,5,1,0,6,17
talent,3,0,8,2,1,2,16
metal,3,1,2,6,0,4,16
arrest,9,0,3,1,3,0,16
scheme,2,0,4,3,3,4,16
thought,0,3,2,5,5,1,16
wing,2,2,5,1,4,2,16
ray,2,0,1,7,1,5,16
guest,3,0,2,3,2,6,16
roof,2,1,1,4,1,7,16
flame,1,1,2,4,3,5,16
concern,6,2,2,2,1,3,16
suit,3,1,2,5,3,2,16
account,5,2,1,4,3,1,16
manager,2,2,2,2,3,5,16
warrior,2,1,1,4,8,0,16
whereabouts,4,1,7,2,1,1,16
sun,1,2,2,6,0,5,16
rope,1,1,2,3,7,2,16
suspicion,3,2,2,0,2,7,16
sentence,11,1,1,2,1,0,16
stone,2,0,1,3,3,7,16
confrontation,4,1,2,3,3,3,16
robbery,7,1,0,2,5,1,16
flower,3,1,4,4,2,2,16
colonel,6,0,0,3,6,1,16
root,3,2,6,0,1,4,16
key,2,0,1,5,2,6,16
bill,4,1,2,2,6,1,16
brain,0,0,2,7,1,6,16
ride,2,0,4,2,6,2,16
illness,4,1,4,1,0,6,16
bond,4,3,3,1,2,3,16
judge,2,3,0,1,5,5,16
period,3,2,1,5,2,3,16
ball,1,1,3,4,2,5,16
clothes,5,0,2,4,4,1,16
need,4,1,5,2,3,1,16
mob,3,0,3,1,5,4,16
goodbye,2,0,4,4,4,2,16
van,2,2,0,4,2,6,16
answer,4,0,3,3,3,3,16
smile,0,0,3,6,4,3,16
statue,1,2,0,5,1,7,16
path,2,0,4,4,4,2,16
background,0,4,8,3,1,0,16
respect,5,3,2,0,4,2,16
bottle,0,0,4,5,2,4,15
robot,0,0,1,13,1,0,15
construction,3,1,3,2,5,1,15
existence,2,0,4,7,0,2,15
mask,2,1,1,3,1,7,15
accomplice,7,0,2,2,1,3,15
advance,4,2,1,5,2,1,15
criminal,7,0,2,2,3,1,15
hundred,3,0,1,3,4,4,15
play,4,1,1,3,1,5,15
duty,3,2,0,1,6,3,15
romance,2,1,7,1,3,1,15
program,3,1,1,6,2,2,15
entrance,0,0,2,6,2,5,15
billy,4,0,0,4,3,4,15
detail,3,2,3,2,3,2,15
noise,2,0,2,5,1,5,15
princess,1,2,3,4,2,3,15
signal,2,2,2,6,3,0,15
connection,3,2,2,4,2,2,15
palace,3,1,4,1,5,1,15
issue,4,5,1,2,3,0,15
chest,3,2,1,5,4,0,15
nephew,5,2,2,1,3,2,15
asylum,4,2,2,1,1,5,15
rifle,1,1,0,1,7,5,15
rain,1,0,7,3,1,3,15
throat,2,0,0,1,4,8,15
damage,3,0,2,6,3,1,15
hiding,6,1,2,1,4,1,15
witch,0,1,4,1,1,8,15
paul,3,3,1,2,3,3,15
present,2,0,4,6,1,2,15
co,2,2,1,3,6,1,15
mexican,3,2,0,0,8,2,15
footage,2,8,1,1,1,2,15
aid,5,1,1,2,5,1,15
being,0,2,2,3,3,5,15
queen,2,1,3,3,1,5,15
conflict,3,2,1,3,5,1,15
chamber,3,2,2,5,2,1,15
actress,4,0,2,2,1,6,15
businessman,3,3,2,2,4,1,15
tower,1,2,0,6,2,3,14
diary,3,1,1,4,2,3,14
possession,3,0,1,2,2,6,14
crash,0,1,2,7,3,1,14
airport,5,0,5,1,3,0,14
confronts,4,1,3,4,2,0,14
white,5,0,1,1,4,3,14
subject,0,4,2,5,0,3,14
start,2,2,2,0,8,0,14
mean,1,0,4,7,2,0,14
strike,7,0,2,4,1,0,14
re,1,1,2,5,4,1,14
cloud,2,2,2,7,0,1,14
rampage,2,0,3,6,0,3,14
dark,3,1,0,2,5,3,14
meantime,2,1,3,4,2,2,14
lab,2,0,0,8,0,4,14
spy,1,2,1,1,8,1,14
trail,0,1,0,2,5,6,14
native,0,2,1,3,5,3,14
faith,4,1,2,2,1,4,14
farm,3,3,3,3,1,1,14
sacrifice,4,1,1,2,3,3,14
adventure,1,2,4,5,0,2,14
.,6,1,2,0,4,1,14
bird,2,1,4,4,1,2,14
origin,1,1,1,7,2,2,14
coast,3,0,0,6,3,2,14
element,3,4,2,5,0,0,14
aunt,3,1,4,1,1,4,14
mirror,0,1,3,0,0,10,14
paper,3,1,4,4,2,0,14
defeat,1,3,2,2,6,0,14
language,1,1,6,2,3,1,14
richard,2,2,1,2,2,5,14
dead,1,0,0,1,4,8,14
staff,4,0,2,0,5,3,14
curse,0,0,4,0,2,8,14
resistance,4,0,1,5,4,0,14
count,3,0,1,1,0,9,14
desire,3,1,3,4,3,0,14
fan,3,1,5,2,3,0,14
spring,2,1,4,1,4,2,14
soviet,6,0,3,3,1,1,14
nazi,7,3,1,1,2,0,14
lake,3,1,1,5,1,3,14
factory,3,2,3,4,2,0,14
prostitute,2,4,1,1,4,2,14
companion,0,0,4,1,5,4,14
kingdom,3,3,3,3,1,1,14
ruin,2,0,2,4,2,4,14
drinking,1,0,3,3,2,5,14
protection,5,0,2,1,3,3,14
intention,3,0,2,1,4,3,13
novel,2,2,2,2,0,5,13
demon,1,0,1,1,1,9,13
jack,4,0,0,1,4,4,13
attitude,1,3,4,0,5,0,13
associate,6,2,0,2,0,3,13
tv,3,3,0,2,1,4,13
pool,1,2,4,1,2,3,13
bat,4,1,1,1,0,6,13
view,3,1,3,1,3,2,13
corps,4,0,1,2,4,2,13
destination,1,1,2,5,1,3,13
invasion,4,2,1,3,3,0,13
peter,3,1,1,3,2,3,13
base,3,0,0,5,4,1,13
rival,6,1,1,0,4,1,13
cave,1,0,5,5,2,0,13
writer,4,2,2,3,0,2,13
gangster,3,0,4,2,2,2,13
approach,2,0,2,3,3,3,13
equipment,1,0,2,4,4,2,13
fun,0,2,5,3,1,2,13
don,4,1,3,0,3,2,13
attacker,2,0,0,3,4,4,13
world war ii,6,1,0,2,1,3,13
movement,2,2,2,4,2,1,13
wind,3,0,3,2,4,1,13
acquaintance,2,0,6,0,3,2,13
tour,2,1,5,1,1,3,13
claim,1,1,0,1,6,4,13
animal,1,1,4,1,1,5,13
household,2,1,6,1,1,2,13
flees,3,0,2,4,2,2,13
target,2,0,0,2,7,2,13
robert,3,1,1,2,3,3,13
difference,3,2,5,2,1,0,13
disguise,3,2,3,1,2,2,13
reward,1,0,2,2,8,0,13
documentary,2,5,1,1,2,2,13
vessel,2,0,0,7,4,0,13
code,2,1,1,6,2,1,13
employee,3,1,3,2,1,3,13
paris,3,0,4,2,1,3,13
salesman,4,2,1,3,1,2,13
vehicle,2,0,1,3,3,4,13
challenge,2,2,2,0,7,0,13
adult,3,2,1,2,1,4,13
fuel,2,0,2,5,1,3,13
south,2,1,3,1,4,2,13
rocket,1,0,1,10,1,0,13
black,3,1,1,1,4,3,13
los,5,1,0,1,4,2,13
speech,4,3,4,0,1,1,13
tunnel,2,0,2,4,2,3,13
sense,2,4,4,1,2,0,13
beach,6,1,3,1,1,1,13
new york city,2,3,1,4,0,3,13
none,4,1,2,1,4,1,13
william,4,1,0,1,6,1,13
citizen,4,1,0,4,2,2,13
sneak,1,0,3,6,3,0,13
red,4,0,3,1,2,3,13
mexico,4,1,0,2,4,2,13
disease,2,4,2,1,1,3,13
zombie,0,0,0,1,0,12,13
vampire,0,0,0,0,0,13,13
clan,3,0,1,1,7,1,13
abuse,4,0,2,1,3,3,13
japan,4,0,1,4,3,1,13
source,1,0,2,5,3,2,13
grand,3,0,1,3,5,1,13
customer,1,1,4,5,0,2,13
lesson,4,1,4,1,0,2,12
medium,1,2,1,4,1,3,12
computer,3,0,0,7,1,1,12
costume,3,1,2,4,0,2,12
ash,2,0,2,2,1,5,12
department,7,0,0,2,2,1,12
combat,4,1,2,4,0,1,12
guise,2,2,1,4,0,3,12
musician,1,3,2,4,2,0,12
drink,1,0,4,0,3,4,12
bombing,6,1,1,1,3,0,12
inhabitant,1,2,2,5,1,1,12
creation,1,0,3,4,1,3,12
dawn,1,0,1,1,2,7,12
suggestion,1,2,1,4,1,3,12
torture,1,1,2,2,4,2,12
kitchen,2,1,2,2,0,5,12
max,3,1,2,2,0,4,12
bath,1,0,1,2,3,5,12
punishment,2,0,3,2,1,4,12
purpose,2,2,4,2,2,0,12
beast,0,0,1,5,1,5,12
share,4,1,1,1,5,0,12
